id,en,transcription,id_type,ru,add_dts
21,coastguards,ˈkəʊstɡɑːd,naun,береговая охрана,2017-08-03 16:38:19
20,splash,splæʃ,verb,всплеск,2017-08-03 16:38:19
19,bare,beə(r),adj,голый,2017-08-03 16:38:19
18,exhaust,ˈædʒɪktɪv,adj,измученный,2017-08-03 16:38:19
17,couple,ˈkʌpl,det,пара,2017-08-03 16:38:19
16,realise,riːəlaɪz,verb,понимать,2017-08-03 16:38:19
15,paddle,ˈpædl,noun,весло,2017-08-03 16:38:19
14,sunburn,ˈsʌnbɜːn,noun,солнечный ожог,2017-08-03 16:38:19
13,shore,ʃɔː(r),noun,берег,2017-08-03 16:38:19
12,dehydrated,ˌdiːhaɪˈdreɪtɪd,adj,обезвоженный,2017-08-03 16:38:19
11,sailboat,ˈseɪlbəʊt,noun,парусная лодка,2017-08-03 16:38:19
10,rescue,ˈreskjuː,verb,спасать,2017-08-03 16:38:19
9,stay up,,,не спать;оставаться активным,2017-08-03 16:38:19
8,take up,,,начать;начать что то делать,2017-08-03 16:38:19
7,belong,,,принадлежать,2017-08-03 16:38:19
6,addict,ˈædɪkt,noun,наркоман;поклонник,2017-08-03 16:38:19
5,starve,,,голодовать,2017-08-03 16:38:19
4,sedentary,,,сидячий образ жизни,2017-08-03 16:38:19
3,grow,,,расти,2017-08-03 16:38:19
2,prohibition,prəʊɪˈbɪʃn,noun,запрет,2017-08-03 16:38:19
1,obligation,ɒblɪˈɡeɪʃn,noun,обязательство;обязанность,2017-08-03 16:38:19
